Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data_interna,Chrome 120.0.0.0,,,12-01-2024 17:31:53,12-01-2024 17:32:19,"25,978s",PASSED
,,,,,,,
Test Cases/Datos_externos/Driver_internal/Caso_drive_intenal,Chrome 120.0.0.0,,,12-01-2024 17:31:53,12-01-2024 17:32:04,"10,220s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,12-01-2024 17:31:54,12-01-2024 17:31:57,"2,670s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 120.0.0.0,,,12-01-2024 17:31:57,12-01-2024 17:31:59,"2,328s",PASSED
waitForPageLoad(0),Chrome 120.0.0.0,,,12-01-2024 17:31:59,12-01-2024 17:32:00,"0,915s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputfirstName""), nombre)",Chrome 120.0.0.0,,,12-01-2024 17:32:00,12-01-2024 17:32:01,"1,390s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputlastName""), apellido)",Chrome 120.0.0.0,,,12-01-2024 17:32:01,12-01-2024 17:32:02,"0,690s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputuserEmail""), email)",Chrome 120.0.0.0,,,12-01-2024 17:32:02,12-01-2024 17:32:03,"0,714s",PASSED
delay(0),Chrome 120.0.0.0,,,12-01-2024 17:32:03,12-01-2024 17:32:03,"0,048s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,12-01-2024 17:32:03,12-01-2024 17:32:04,"0,888s",PASSED
,,,,,,,
Test Cases/Datos_externos/Driver_internal/Caso_drive_intenal,Chrome 120.0.0.0,,,12-01-2024 17:32:04,12-01-2024 17:32:11,"7,313s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,12-01-2024 17:32:04,12-01-2024 17:32:05,"1,563s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 120.0.0.0,,,12-01-2024 17:32:05,12-01-2024 17:32:07,"2,058s",PASSED
waitForPageLoad(0),Chrome 120.0.0.0,,,12-01-2024 17:32:07,12-01-2024 17:32:07,"0,029s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputfirstName""), nombre)",Chrome 120.0.0.0,,,12-01-2024 17:32:07,12-01-2024 17:32:09,"1,402s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputlastName""), apellido)",Chrome 120.0.0.0,,,12-01-2024 17:32:09,12-01-2024 17:32:09,"0,646s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputuserEmail""), email)",Chrome 120.0.0.0,,,12-01-2024 17:32:09,12-01-2024 17:32:10,"1,037s",PASSED
delay(0),Chrome 120.0.0.0,,,12-01-2024 17:32:10,12-01-2024 17:32:10,"0,005s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,12-01-2024 17:32:10,12-01-2024 17:32:11,"0,530s",PASSED
,,,,,,,
Test Cases/Datos_externos/Driver_internal/Caso_drive_intenal,Chrome 120.0.0.0,,,12-01-2024 17:32:11,12-01-2024 17:32:19,"7,920s",PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,12-01-2024 17:32:11,12-01-2024 17:32:13,"1,898s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 120.0.0.0,,,12-01-2024 17:32:13,12-01-2024 17:32:16,"2,943s",PASSED
waitForPageLoad(0),Chrome 120.0.0.0,,,12-01-2024 17:32:16,12-01-2024 17:32:16,"0,032s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputfirstName""), nombre)",Chrome 120.0.0.0,,,12-01-2024 17:32:16,12-01-2024 17:32:17,"1,048s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputlastName""), apellido)",Chrome 120.0.0.0,,,12-01-2024 17:32:17,12-01-2024 17:32:18,"0,770s",PASSED
"setText(findTestObject(""Object Repository/driver_excel/Page_DEMOQA/inputuserEmail""), email)",Chrome 120.0.0.0,,,12-01-2024 17:32:18,12-01-2024 17:32:18,"0,709s",PASSED
delay(0),Chrome 120.0.0.0,,,12-01-2024 17:32:18,12-01-2024 17:32:18,"0,008s",PASSED
closeBrowser(),Chrome 120.0.0.0,,,12-01-2024 17:32:18,12-01-2024 17:32:19,"0,478s",PASSED
